mag,mapped_reads,mag_length,total_decon_sample_reads,sample_id,rpkm
samp_4380,32826,4773271,48087882,samp_1288,1.4300993984827856e-4
samp_468,36741,4238051,48087882,samp_1288,1.8028066220855064e-4
samp_471,8480,4577490,48087882,samp_1288,3.852412636750095e-5
samp_477,9832,4344744,48087882,samp_1288,4.7058927861303153e-5
samp_481,1165,3602070,48087882,samp_1288,6.7257098504496345e-6
samp_507,34620,3568765,48087882,samp_1288,2.0173138177837576e-4
samp_2059,2782,3786874,50518804,samp_1289,1.4541968853961988e-5
samp_2073,251,4337595,50518804,samp_1289,1.1454381970858676e-6
samp_3937,528,4108029,50518804,samp_1289,2.5441772298148826e-6
samp_4305,237,3905470,50518804,samp_1289,1.2012184097739791e-6
samp_4344,501,4351921,50518804,samp_1289,2.2787866285784103e-6
samp_4380,3491,4773271,50518804,samp_1289,1.4477070740639463e-5
samp_468,358,4238051,50518804,samp_1289,1.6721059322078436e-6
samp_471,323,4577490,50518804,samp_1289,1.3967608632520566e-6
samp_477,738,4344744,50518804,samp_1289,3.362320506397976e-6
samp_481,1091,3602070,50518804,samp_1289,5.9954190275619664e-6
samp_507,627,3568765,50518804,samp_1289,3.4777353472273468e-6
samp_2059,14839,3786874,47102206,samp_1290,8.319218523197513e-5
samp_2073,7917,4337595,47102206,samp_1290,3.874988320294974e-5
samp_3937,24470,4108029,47102206,samp_1290,1.2646175982011172e-4
samp_4305,10727,3905470,47102206,samp_1290,5.8312777392194475e-5
samp_4344,31301,4351921,47102206,samp_1290,1.526989187986688e-4
samp_4380,34446,4773271,47102206,samp_1290,1.5320800514287137e-4
samp_468,13435,4238051,47102206,samp_1290,6.730235245899568e-5
samp_471,8778,4577490,47102206,samp_1290,4.0712420620336656e-5
samp_477,11792,4344744,47102206,samp_1290,5.762116449147731e-5
samp_481,1376,3602070,47102206,samp_1290,8.110078129759876e-6
samp_507,39768,3568765,47102206,samp_1290,2.3657810657446137e-4
samp_2059,3861,3786874,NA,samp_1291,NA
samp_2073,463,4337595,NA,samp_1291,NA
samp_3937,807,4108029,NA,samp_1291,NA
samp_4305,233,3905470,NA,samp_1291,NA
samp_4344,1187,4351921,NA,samp_1291,NA
samp_4380,6857,4773271,NA,samp_1291,NA
samp_468,282,4238051,NA,samp_1291,NA
samp_471,998,4577490,NA,samp_1291,NA
samp_477,1182,4344744,NA,samp_1291,NA
samp_481,1406,3602070,NA,samp_1291,NA
samp_507,952,3568765,NA,samp_1291,NA
samp_2059,12880,3786874,44834774,samp_1292,7.586125496721466e-5
samp_2073,4788,4337595,44834774,samp_1292,2.4620119534935855e-5
samp_3937,12286,4108029,44834774,samp_1292,6.670555858793486e-5
samp_4305,7619,3905470,44834774,samp_1292,4.351206379307616e-5
samp_4344,15479,4351921,44834774,samp_1292,7.933172764836327e-5
samp_4380,17630,4773271,44834774,samp_1292,8.237989526028716e-5
samp_468,14768,4238051,44834774,samp_1292,7.772138302376513e-5
samp_471,6102,4577490,44834774,samp_1292,2.9732389544124933e-5
samp_477,6898,4344744,44834774,samp_1292,3.541147468021873e-5
samp_481,1428,3602070,44834774,samp_1292,8.842215071852115e-6
samp_507,20821,3568765,44834774,samp_1292,1.3012736876082598e-4
samp_2059,2647,3786874,NA,samp_1293,NA
samp_2073,153,4337595,NA,samp_1293,NA
samp_3937,204,4108029,NA,samp_1293,NA
samp_4305,93,3905470,NA,samp_1293,NA
samp_4344,202,4351921,NA,samp_1293,NA
samp_4380,1481,4773271,NA,samp_1293,NA
samp_468,224,4238051,NA,samp_1293,NA
samp_471,279,4577490,NA,samp_1293,NA
samp_477,241,4344744,NA,samp_1293,NA
samp_481,1051,3602070,NA,samp_1293,NA
samp_507,244,3568765,NA,samp_1293,NA
samp_2059,12993,3786874,42132476,samp_1294,8.143509385175416e-5
samp_2073,5024,4337595,42132476,samp_1294,2.749056394070531e-5
samp_3937,13774,4108029,42132476,samp_1294,7.958103732663421e-5
samp_4305,13258,3905470,42132476,samp_1294,8.057266463189813e-5
samp_4344,15530,4351921,42132476,samp_1294,8.469806148760996e-5
samp_4380,24929,4773271,42132476,samp_1294,1.2395720741381763e-4
samp_468,50397,4238051,42132476,samp_1294,2.822419240850567e-4
samp_471,5283,4577490,42132476,samp_1294,2.7392787243780416e-5
samp_477,7825,4344744,42132476,samp_1294,4.274675696285857e-5
samp_481,1018,3602070,42132476,samp_1294,6.707777487257822e-6
samp_507,15743,3568765,42132476,samp_1294,1.047014177351349e-4
samp_2059,1781,3786874,44675026,samp_1295,1.0527330325042157e-5
samp_2073,162,4337595,44675026,samp_1295,8.359902280975037e-7
samp_3937,280,4108029,44675026,samp_1295,1.525666873702491e-6
samp_4305,153,3905470,44675026,samp_1295,8.769065434514221e-7
samp_4344,292,4351921,44675026,samp_1295,1.5018862264344855e-6
samp_4380,3669,4773271,44675026,samp_1295,1.7205480507255288e-5
samp_468,449,4238051,44675026,samp_1295,2.3714575140769876e-6
samp_471,296,4577490,44675026,samp_1295,1.4474364096345958e-6
samp_477,216,4344744,44675026,samp_1295,1.1128195457759512e-6
samp_481,749,3602070,44675026,samp_1295,4.654412341247403e-6
samp_507,333,3568765,44675026,samp_1295,2.088629792681936e-6
samp_2059,21801,3786874,47197118,samp_1296,1.219775987697621e-4
samp_2073,4424,4337595,47197118,samp_1296,2.160979458123636e-5
samp_3937,34488,4108029,47197118,samp_1296,1.7787668576030983e-4
samp_4305,19479,3905470,47197118,samp_1296,1.0567636625497372e-4
samp_4344,39387,4351921,47197118,samp_1296,1.917592930311701e-4
samp_4380,38740,4773271,47197118,samp_1296,1.7196024071110394e-4
samp_468,82580,4238051,47197118,samp_1296,4.1285088491163646e-4
samp_471,5895,4577490,47197118,samp_1296,2.728606599017791e-5
samp_477,5277,4344744,47197118,samp_1296,2.573400742562085e-5
samp_481,1054,3602070,47197118,samp_1296,6.199732943430582e-6
samp_507,57333,3568765,47197118,samp_1296,3.403856447792333e-4
samp_2059,2123,3786874,47993116,samp_1297,1.1681273466233754e-5
samp_2073,122,4337595,47993116,samp_1297,5.860462390594652e-7
samp_3937,181,4108029,47993116,samp_1297,9.1804955886423e-7
samp_4305,107,3905470,47993116,samp_1297,5.708625113433926e-7
