mag,mag_cover_length,mag_cover_percent,id_ref_mag_percent,sample_id
samp_2059,75516,1.9941513765707546,99.56483830679684,samp_1000
samp_2073,7628,0.17585781982872997,97.57815940114487,samp_1000
samp_3937,31883,0.7761142874113108,97.7314324246219,samp_1000
samp_4305,102467,2.6236790962419376,99.56174503986769,samp_1000
samp_4344,28555,0.6561470210511634,97.5181933592004,samp_1000
samp_4380,27755,0.5814670903872837,97.34109551165862,samp_1000
samp_468,594074,14.017622723275391,99.90011368639641,samp_1000
samp_471,7444,0.16262187355952715,97.12179712179713,samp_1000
samp_477,6529,0.15027352589703788,95.03706357298356,samp_1000
samp_481,1396,0.03875549336909055,98.9459166584573,samp_1000
samp_507,50815,1.4238819311442474,97.81624847307607,samp_1000
samp_2059,1431320,37.796874150024536,99.6192129942992,samp_1001
samp_2073,95818,2.2090121369099696,97.23502891868971,samp_1001
samp_3937,842505,20.508740322913983,98.07558965733395,samp_1001
samp_4305,1942168,49.7294307727367,99.63317391321841,samp_1001
samp_4344,766001,17.60144543065005,97.89731411107437,samp_1001
samp_4380,826641,17.318124196174907,97.115177339335645,samp_1001
samp_468,4186553,98.7848659678706,99.90596374580137,samp_1001
samp_471,91601,2.001118516916476,95.83107742284787,samp_1001
samp_477,27159,0.6251001209737559,94.53565292892179,samp_1001
samp_481,17528,0.48660908866290775,95.9089219330855,samp_1001
samp_507,913729,25.603507095591894,98.49049888060371,samp_1001
samp_2059,36898,0.9743656641335308,99.24761180150477,samp_1002
samp_2073,4046,0.0932774959395702,97.7533039647577,samp_1002
samp_3937,12811,0.3118527157427564,95.98665336160659,samp_1002
samp_4305,49719,1.2730606047415547,99.67617750476006,samp_1002
samp_4344,12356,0.283920595065949,95.84035975267004,samp_1002
samp_4380,12473,0.26130927827060313,97.53513377558399,samp_1002
samp_468,372542,8.790408609995492,99.9045152590462,samp_1002
samp_471,4830,0.10551634192537832,98.25300458431421,samp_1002
samp_477,4393,0.10111067533553186,94.08703878902554,samp_1002
samp_481,682,0.01893355764879639,99.47235604496444,samp_1002
samp_507,11849,0.3320196202327696,95.09924199272663,samp_1002
samp_2059,1090628,28.80021886125601,99.55113584867934,samp_1003
samp_2073,85835,1.978861558075385,96.89746913755675,samp_1003
