sample_id,percent_cover_all_ref,percent_id_all_ref,lat,lon,collection_date,NOAA_Site,contig_220425_trim_percent_cover,contig_266508_trim_percent_cover,contig_36365_trim_percent_cover,contig_220425_trim_percent_id,contig_266508_trim_percent_id,contig_36365_trim_percent_id
samp_2042,74.1409993155373,99.91897383478143,41.826,-83.1947,2016-07-18,WE4,79.0139427914331,70.64537591483699,73.18285637511755,99.95603429325126,99.81898288875986,99.94085090202375
samp_2047,99.99087383070956,99.79882519869422,41.8346,-83.3565,2016-08-01,WE8,100,100,100,99.90948214257357,99.5227953651229,99.906347479666607
samp_2088,84.07027150353639,99.91204925241864,41.7036,-83.2547,2018-07-30,WE12,82.85180393847924,77.23220226214238,92.32836221953514,99.93628279358396,99.50373046149691,99.93223456521211
samp_2092,75.98904859685148,99.9284894646688,41.7032,-83.2536,2018-08-13,WE12,89.04700301854247,69.78043912175649,70.1733172108021,99.95899454627464,99.69157355679702,99.98386663081472
samp_2096,83.1211498973306,99.94882024093856,41.7031,-83.2543,2018-08-20,WE12,81.85999712519765,86.57351962741184,80.92167136907162,99.93612264452253,99.68291564792176,99.98176845943485
samp_2141,85.74948665297741,99.94798168955472,NA,NA,2020-07-06,WE8,83.78611470461405,86.78642714570857,86.60486363025662,99.9523260895475,99.91895646804568,99.97288188122263
samp_2142,74.70225872689939,99.97924958970779,41.7035,-83.2552,2020-07-06,WE12,63.08753773178094,80.57218895542249,79.64530431277711,99.97740793734468,99.9681195063078,99.97750281214849
samp_2153,95.49167237052248,99.39640162507256,41.8342,-83.3604,2020-08-24,WE8,97.31205979588904,93.70592149035262,98.84455192798602,99.78547800740184,98.25979872614036,99.85196018977634
samp_2155,70.45859000684462,99.41249699696421,NA,NA,2020-08-31,WE2,65.70360787695846,67.26546906187625,78.98696762058309,99.7997997997998,98.40785701213932,99.64609852160513
samp_2158,85.31599361168149,99.52101359703337,NA,NA,2020-08-31,WE12,84.92166163576255,92.0292747837658,81.58000806126562,99.9270761839396,98.77293980918404,99.98855507868385
samp_4338,85.58521560574948,98.99349557025906,41.7628,-83.3297,9/9/2020,WE2,85.42475204829668,87.67797737857617,86.41676743248689,99.96514667441186,97.77879612906705,99.8894513294932
samp_4341,74.58818161076888,99.03237893715973,41.7055,-83.2542,9/9/2020,WE12,76.61348282305592,72.9208250166334,76.82386134623135,99.93018384919712,97.33907891193104,99.92865805807234
samp_451,85.07871321013005,99.94979379594764,41.7048,-83.2544,2016-08-01,WE12,85.49662210723012,84.83033932135729,84.97917506381836,99.9893899204244,99.86891599224894,99.98451532982348
samp_470,100,99.95998784952128,41.7634167,-83.3307,2020-07-06,WE2,100,100,100,99.9830656152781,99.915457492027,99.98555117831616
samp_471,100,99.95252363523618,41.81916,-83.35921,2020-07-06,WE8,100,100,100,99.97857129502724,99.90022918368676,99.97918115495864
samp_472,98.1245722108145,99.95717406926187,41.7034833,-83.255167,2020-07-06,WE12,99.23817737530544,99.26813040585496,95.92906086255545,99.96507160321342,99.93297458779372,99.9788747271319
samp_477,92.32032854209446,99.04683558188,41.76135,-83.33285,2020-08-10,WE2,89.82319965502373,96.44710578842314,91.14604326212547,99.7193983163899,97.8542445152564,99.6054849088402
samp_481,77.4903034451289,97.5137516288617,41.7627833,-83.32965,2020-09-09,WE2,75.14733362081357,77.49833666001331,82.37269918043799,99.93973310374516,95.27554673443268,99.9722902138272
samp_484,80.89892767510838,98.3284214404126,41.7054833,-83.254233,2020-09-09,WE12,83.42676440994681,78.78908848968729,83.36692194007792,99.98755522369486,95.89815672619235,99.98889135747612
samp_499,80.64795801962127,99.95697074010327,41.653433,-83.177667,2021-08-03,WE16-WSW,75.01796751473336,86.13439787092481,80.54547897353218,99.99189298743411,99.73414179104478,99.98277050310132
samp_509,80.86698608259184,99.97773730014167,41.8265,-83.1893,2016-09-19,WE4,78.13712807244502,86.3872255489022,77.88526131936048,99.97162919355983,99.9890320811626,99.96486708045438
samp_511,99.63951631302761,99.95663397005679,41.7035,-83.2537,2019-07-15,WE12,99.64064970533276,99.9733865602129,99.30135697971248,99.98590446358652,99.9156273490113,99.96907041120888
